Year,Country Name,Country Code,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by injury (% of total)","Cause of death, by non-communicable diseases (% of total)",Current health expenditure (% of GDP),Diabetes prevalence (% of population ages 20 to 79),"Government expenditure on education, total (% of GDP)",Income share held by highest 10%,Income share held by lowest 10%,Income share held by second 20%,"Life expectancy at birth, total (years)",Prevalence of undernourishment (% of population),"Unemployment, total (% of total labor force) (modeled ILO estimate)",population(in thousand),all_causes(in thousand),diabetes_mellitus(in thousand),%death by diabetes,alzheimer_and_other_dementia (in thousand),%death by alzheimer_and_other_dementia,cardiovascular_diseases (in thousand),%death by cardiovascular_diseases,asthma (in thousand),%death by asthma,kidney_diseases (in thousand),%death by kidney_diseases,Income_share_bottom 40%,Income_share_top 10%
2000,Afghanistan,AFG,59.81465032,8.175588083,32.00976322,9.44339085,7.6,4.684760571,,,,55.005,46,7.935,20130.336,255.3899492,1.92168759,0.752452317,0.925783051,0.36249784,43.48177625,17.02564114,2.712044765,1.061923061,3.038959449,1.189929149,14.73099995,34.33800125
2010,Afghanistan,AFG,48.14991352,11.03092398,40.81916407,8.56967163,7.6,3.479449987,,,,60.702,19.4,7.753,28284.1,250.4738348,3.206174647,1.280043742,1.391583906,0.555580549,50.09683139,20.00082421,2.760919638,1.102278663,4.28716857,1.711623321,15.20499992,33.82400131
2015,Afghanistan,AFG,39.39098063,16.38996468,44.21905272,10.10534763,7.6,3.255800009,,,,62.27,20,9.052,33831.768,274.6668833,3.991853286,1.453343497,1.72792406,0.629098069,55.9872021,20.38367401,2.753178546,1.002370039,5.21894754,1.900100761,15.13099957,34.26599884
2019,Afghanistan,AFG,32.93045135,17.28846373,49.78108487,14.83131981,7.6,4.343190193,,,,62.941,25.1,11.185,37856.119,291.5355407,5.067947264,1.738363443,2.041364098,0.700211059,63.31026364,21.71613913,2.940603949,1.008660537,6.418008865,2.201449899,14.76599979,34.90399933
2020,Afghanistan,AFG,32.93045135,17.28846373,49.78108487,15.53361416,7.6,4.343190193,,,,61.454,27.7,11.71,39068.984,309.8162756,5.434866649,1.754222447,2.158191564,0.696603676,67.2645102,21.71109638,3.042988523,0.982191306,6.869168484,2.217174831,14.76599979,34.90399933
2021,Afghanistan,AFG,32.93045135,17.28846373,49.78108487,21.508461,10.9,4.343190193,,,,60.417,29.4,11.994,40000.41,340.5159358,5.310615526,1.559579147,2.015188848,0.591804564,62.96729008,18.49173077,2.851603121,0.837436026,6.638959302,1.949676536,14.76599979,34.90399933
2000,Albania,ALB,8.109351642,7.748300281,84.142346,5.94419765,2.8,3.430170059,25.3,3.5,12.6,74.826,4.9,19.023,3166.158,20.59583555,0.149485083,0.725802471,0.567182033,2.753867557,10.41762942,50.58124202,0.205188423,0.996261708,0.303569348,1.473935581,18.47900009,26.02499962
2010,Albania,ALB,3.259131519,6.141520509,90.59934972,6.23667669,2.8,3.41307497,24.4,3.7,13.1,78.414,5.4,14.086,2928.726,20.34269213,0.169921073,0.835292947,0.54369603,2.672684746,10.59700975,52.09246485,0.130050925,0.639300463,0.333480137,1.639311725,18.74099922,25.91799927
2015,Albania,ALB,2.95538162,4.1268147,92.91780583,6.46411896,2.8,3.437969923,24.8,3.2,12.1,78.358,4.4,17.193,2898.642,24.00036308,0.201581062,0.839908387,0.830900034,3.462031099,14.47843672,60.32590701,0.151627053,0.631769829,0.403571445,1.681522247,17.11100006,26.79400063
2019,Albania,ALB,3.023108283,3.035996411,93.94089314,6.86214113,2.8,3.916239977,23.6,3.5,13,79.467,4.3,11.466,2885.015,33.66962215,0.273891002,0.813466219,1.458057542,4.330483826,22.0285067,65.42546455,0.204107429,0.606206474,0.589706934,1.751451001,17.88100052,25.57699966
